id,slug,name,address,city,state,lat,lng,verified,phone,email,website,hours
6365ceb8-f589-4e78-afc3-69d1d38756e9,julio-s-liquors-inc-westboro-ma,Julio's Liquors Inc,140 Turnpike Rd,Westboro,MA,,,false,508-366-1942,roy@juliosliquors.com,http://www.juliosliquors.com,
50b3e530-1544-4357-97b4-ddfa35f0cc4d,cigar-barn-lounge-yardley-pa,Cigar Barn & Lounge,724 Stony Hill Rd,Yardley,PA,,,false,215-588-1078,cigarbarn@aol.com,,
baa02cd3-9936-4625-a0c8-0dbf05b123ae,tobacco-republic-loomis-ca,Tobacco Republic,3589 Taylor Rd,Loomis,CA,,,false,916-652-2010,trcigar@aol.com,,
7974bc1e-2ffa-411c-ac5b-04dfb670f574,titan-cigar-gambrills-md,Titan Cigar,2634 Chapel Lake Dr,Gambrills,MD,,,false,410-721-0100,mytitancigar@gmail.com,http://www.titancigar.com,
7a9038e1-bf1b-45f1-87ff-45e61621d89b,hi-time-wine-cellars-costa-mesa-ca,Hi-time Wine Cellars,250 Ogle St,Costa Mesa,CA,,,false,949-650-8463,service@hitimewine.net,http://www.hitimewine.net,
a2ae2442-71f7-4a8a-bc74-eb9fae77382f,spec-s-warehouse-houston-tx,Spec's Warehouse,2410 Smith Street,Houston,TX,,,false,713-526-8787,garciadglen@yahoo.com,http://www.specsonline.com,
93802073-0bd3-43d0-9782-d1d68a040734,georgetown-tobacco-washington-dc,Georgetown Tobacco,3144 M St Nw,Washington,DC,,,false,202-338-5100,djb@gttobacco.com,http://www.gttobacco.com,
444ae959-68c3-4667-a5c8-79f8d74b3247,lj-peretti-co-boston-ma,Lj Peretti Co,2 1/2 Park Square,Boston,MA,,,false,617-482-0218,swillett@ljperetti.com,http://www.ljperetti.com,
a77d025f-4453-4ea4-b2ca-3a3d3569e80c,owl-shop-tobacco-cafe-new-haven-ct,Owl Shop Tobacco Cafe,268 College St,New Haven,CT,,,false,203-624-3250,glendgreenberg@gmail.com,http://www.theowlshop.com,
72144db1-a86c-4a73-bc2d-29248c181286,tobacco-shop-ridgewood-nj,Tobacco Shop,10 Chestnut St,Ridgewood,NJ,,,false,201-447-2204,bkolesaire@yahoo.com,http://www.tobaccoshop.com,
62630ed3-9dc1-41f5-b68e-98bccecca21b,milan-tobacconists-inc-roanoke-va,Milan Tobacconists Inc,309 S Jefferson St,Roanoke,VA,,,false,540-344-5191,milantobacco@milantobacco.com,http://www.milantobacco.com,
739c121c-c0fc-4a5a-8b7b-465630208305,mccranies-pipe-shop-charlotte-nc,Mccranies Pipe Shop,4143 Park Rd,Charlotte,NC,,,false,704-523-8554,todd@mccranies.com,http://www.mccranies.com,
57c0f5c2-7f5b-4e41-bd05-513932545a96,mccranie-s-cornelius-nc,Mccranie's,20910 Torrence Chapel Rd,Cornelius,NC,,,false,704-655-9055,trent@mccranies.com,http://www.mccranies.com,
6b5ccea9-d28a-4f4e-b668-bf39e3626629,art-of-cigars-atlantic-bch-fl,Art Of Cigars,695 Atlantic Blvd,Atlantic Bch,FL,,,false,904-372-4835,artofcigars@gmail.com,,
6b20a7f4-18cf-4573-a4a8-b57b01871ae4,briarpatch-canton-oh,Briarpatch,2880 Whipple Ave Nw,Canton,OH,,,false,330-477-2511,,,
4c3e97ad-f3dc-44e8-b659-77d1efe860b7,tobacco-wharf-beavercreek-oh,Tobacco Wharf,"3464 Pentagon Blvd , Suite A",Beavercreek,OH,,,false,937-426-0633,s.jean@thewharf.com,http://www.thewharf.com,
3a83648b-209f-46d4-b6e6-d728553c82ee,the-briar-the-burly-bloomington-in,The Briar & The Burly,"101 W Kirkwood Ave , Suite 100",Bloomington,IN,,,false,812-332-3300,,http://www.briarburley.com,
6bedf7ea-ccea-4179-b66e-907c1f473633,iwan-ries-co-chicago-il,Iwan Ries & Co,19 S Wabash Ave,Chicago,IL,,,false,312-372-1306,chuck@iwanries.com,http://www.iwanries.com,
ee1f1aee-b779-417c-b183-8f5df8f44ca8,up-down-tobacco-chicago-il,Up Down Tobacco,1550 N Wells St,Chicago,IL,,,false,312-337-8505,info@updown.com,http://www.updowncigar.com,
07b33648-2bac-413d-a883-61f32504f49f,the-pipe-tobacco-little-rock-ar,The Pipe & Tobacco,2908 S University,Little Rock,AR,,,false,501-562-7473,pipetobacco@sbcglobal.net,,
33ab17b2-ce92-4ef4-a8c0-fe871feda098,the-tinder-box-124-murray-ut,The Tinder Box #124,188 E Winchester St,Murray,UT,,,false,801-268-1321,theboxslc@aol.com,http://www.tinderboxsaltlate.com,
10b7ee5f-f700-4492-8517-4c837fe7efb2,the-tinder-box-palm-springs-palm-springs-ca,The Tinder Box Palm Springs,200 North Palm Canyon Drive,Palm Springs,CA,,,false,760-325-4041,tinderboxps@yahoo.com,http://www.tinderboxpalmsprings.com,
06ca0665-886e-4276-b996-7a39b59d37dc,the-smoke-shop-amarillo-tx,The Smoke Shop,2413 Hobbs Rd Ste 2,Amarillo,TX,,,false,806-353-6331,,,
8be8f643-b898-4187-a75d-c6e8a16b8b27,the-squire-santa-rosa-ca,The Squire,1305 Cleveland Ave Ste G,Santa Rosa,CA,,,false,707-573-8544,info@squirecigars.com,http://www.squirecigars.com,
3b5f3f7e-dcad-42ef-92cd-0a145460513c,happy-jacks-cigar-tobacco-shop-laconia-nh,Happy Jacks Cigar & Tobacco Shop,71 Church St,Laconia,NH,,,false,603-528-4092,peterk@nhtobacconist.com,http://www.happyjacksonline.com,
c0e298de-043e-40c5-a50e-6079cfd8d82f,jack-schwartz-importer-chicago-il,Jack Schwartz Importer,"141 W Jackson Blvd , Suite 103",Chicago,IL,,,false,312-782-7898,freematches@jackschwartz.com,http://www.jackschwartz.com,
89dd681b-50be-4f85-b8d2-380f8e8a7299,telfords-pipe-cigar-mill-valley-ca,Telfords Pipe & Cigar,664 Redwood Hwy,Mill Valley,CA,,,false,415-388-0440,info@telfordspipeandcigar.com,http://www.telfordspipeandcigar.com,
5a951a96-47e1-4d1f-9df1-a98d14c10018,pipe-world-round-rock-tx,Pipe World,1100 Mcneil Road,Round Rock,TX,,,false,512-388-4300,mail@pipeworld.com,http://www.pipeworld.com,
20dc629f-d898-4749-93b6-13af8f2bfee0,edwards-pipe-tobacco-tampa-fl,Edwards Pipe & Tobacco,3235 Henderson Blvd,Tampa,FL,,,false,813-872-0723,gordon@fgtenterprises.com,,
7b8f9271-0d27-43ac-8938-2c579ed77f75,tobacco-plaza-ltd-great-neck-ny,Tobacco Plaza Ltd,218 Lakeville Rd Store #3,Great Neck,NY,,,false,516-829-7134,mholman110@aol.com,,
7a848d24-ebcb-4524-8fe8-daf7292f97af,uhle-s-pipe-shop-milwaukee-wi,Uhle's Pipe Shop,114 W Wisconsin Ave,Milwaukee,WI,,,false,414-273-6665,jeff@uhles.com,http://www.uhles.com,
9f1f1125-6a90-408d-bf56-cf8d4b6a3199,liberty-tobacco-san-diego-ca,Liberty Tobacco,7341 Clairemont Mesa Blv,San Diego,CA,,,false,858-292-1772,info@libertytobacco.com,http://www.libertytobacco.com,
679d50fe-8c97-4919-a194-c72034ac519d,colonial-east-distributor-virginia-bch-va,Colonial East Distributor,5325 Cleveland St Suite 301,Virginia Bch,VA,,,false,844-802-4427,ruth.farnett@emersonscigars.com,http://www.emersonscigars.com,
